screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
elonmusk,2020-09-14T09:16:29Z,@sama Ancient Greece had it all &amp; then committed suicide. Nobody digs your grave better than yourself.,433,4388,elonmusk,,,Twitter for iPhone,en,1305435240576425984
elonmusk,2020-09-14T08:47:10Z,@flcnhvy @sama True,29,1288,flcnhvy,,,Twitter for iPhone,en,1305427860627296256
elonmusk,2020-09-14T08:44:40Z,@HistoryInPics The LEGO Movie was awesome,411,11148,HistoryInPics,,,Twitter for iPhone,en,1305427232920346624
elonmusk,2020-09-14T08:41:22Z,"@sama The Story of Civilization. First book is a little dry, but second book, The Life of Greece, is incredible. https://t.co/46lBciX7FI",1054,18016,sama,,,Twitter for iPhone,en,1305426401395437568
elonmusk,2020-09-13T21:13:07Z,@Erdayastronaut I’m wearing your F-1 engine shirt right now!,345,13533,Erdayastronaut,,,Twitter for iPhone,en,1305253197242540032
elonmusk,2020-09-13T19:13:16Z,@PPathole @_rykllan @FelixSchlang @spaceXcentric @MarcusHouseGame @SpaceX Cumulative mass to orbit per year (corrected for GTO &amp; other high energy orbits) is the best comparative metric imo,86,1730,elonmusk,,,Twitter for iPhone,en,1305223038082801664
elonmusk,2020-09-13T19:11:14Z,@PPathole @_rykllan @FelixSchlang @spaceXcentric @MarcusHouseGame @SpaceX That’s the number that really matters,67,1924,PPathole,,,Twitter for iPhone,en,1305222524012097536
elonmusk,2020-09-13T18:05:48Z,@_rykllan @FelixSchlang @spaceXcentric @MarcusHouseGame @SpaceX Anyone tracking tonnage to orbit per year for all launch vehicles?,181,5611,_rykllan,,,Twitter for iPhone,en,1305206057984118784
elonmusk,2020-09-12T17:40:23Z,"One way or another, excitement guaranteed! Support of greater Boca, Padre, Brownsville community is very much appreciated.",988,23558,elonmusk,,,Twitter for iPhone,en,1304837274429829121
elonmusk,2020-09-12T17:37:36Z,"SN8 Starship with flaps &amp; nosecone should be done in about a week. Then static fire, checkouts, static fire, fly to 60,000 ft &amp; back.",4877,56471,,,,Twitter for iPhone,en,1304836575075819520
elonmusk,2020-09-12T17:32:32Z,@SpacePadreIsle @BocaChicaGal @NASASpaceflight Can someone do a boat service from South Padre to Boca?,135,2715,SpacePadreIsle,,,Twitter for iPhone,en,1304835296559652864
elonmusk,2020-09-12T16:03:24Z,@WhatsupFranks @samiralyateem @WholeMarsBlog Exactly. Problems like that have been addressed.,49,1334,WhatsupFranks,,,Twitter for iPhone,en,1304812867011579904
elonmusk,2020-09-12T15:37:56Z,@PPathole @WholeMarsBlog Yes. Good insight.,42,1352,PPathole,,,Twitter for iPhone,en,1304806457376796672
elonmusk,2020-09-12T15:37:14Z,"@samiralyateem @WholeMarsBlog All frames stitched to single frame (tricky, as all cameras overlap in different ways) &amp; then creating video segments for labeling &amp; training. Everything from the labeling tools themselves to training to inference had to be rewritten.",85,1017,samiralyateem,,,Twitter for iPhone,en,1304806282755338240
elonmusk,2020-09-12T15:26:36Z,@WhatsupFranks @brandonbernicky @WholeMarsBlog Much,30,1295,WhatsupFranks,,,Twitter for iPhone,en,1304803606030249985
elonmusk,2020-09-12T15:22:04Z,@flcnhvy @WholeMarsBlog Yes,51,1875,flcnhvy,,,Twitter for iPhone,,1304802463615127553
elonmusk,2020-09-12T15:20:45Z,"@brandonbernicky @WholeMarsBlog Releasing private beta in 2 to 4 weeks, public beta (early access owners who opt in) 4 to 6 weeks after that, then all US Tesla owners mid December. Above schedule is contingent upon not encountering major unexpected setbacks.",251,1923,brandonbernicky,,,Twitter for iPhone,en,1304802133355556864
elonmusk,2020-09-12T15:12:00Z,@WholeMarsBlog And this still isn’t using the dramatically better “4D” (aka simultaneous surround video from 8 cameras) architecture,422,8003,WholeMarsBlog,,,Twitter for iPhone,en,1304799934273654784
elonmusk,2020-09-12T14:44:20Z,@C_Bass3d @NASASpaceflight @MarcusHouseGame Cool,133,4818,C_Bass3d,,,Twitter for iPhone,en,1304792968130224128
elonmusk,2020-09-12T14:41:44Z,@richardreinariv He has no clue,395,4586,richardreinariv,,,Twitter for iPhone,en,1304792315634966529
elonmusk,2020-09-12T03:46:10Z,@Astra Sorry to hear that. I’m sure you’ll figure it out though. Took us four launches to reach orbit. Rockets are hard.,373,8034,Astra,,,Twitter for iPhone,en,1304627336470384640
elonmusk,2020-09-11T15:45:06Z,Many exciting things will be unveiled on Battery Day 9/22 ⚡️,15620,173121,,,,Twitter for iPhone,en,1304445872885780480
elonmusk,2020-09-11T15:27:54Z,@Ostimusic We will make super efficient home hvac with hepa filters one day,632,11491,Ostimusic,,,Twitter for iPhone,en,1304441544913481730
elonmusk,2020-09-11T15:26:37Z,"@jhall @RBReich If Reich actually cares about global warming, why is he making so much hot air!?",435,8035,jhall,,,Twitter for iPhone,en,1304441223738925057
elonmusk,2020-09-10T23:12:44Z,@flcnhvy 🇩🇪 Natürlich 🇩🇪,204,7471,flcnhvy,,,Twitter for iPhone,de,1304196136660598785
elonmusk,2020-09-10T21:49:27Z,Bitte arbeiten Sie bei Tesla Giga Berlin! Es wird super Spaß machen!! https://t.co/FcNoPr2oII,2587,37835,,,,Twitter for iPhone,de,1304175179606695937
elonmusk,2020-09-10T21:02:15Z,@MonicaLewinsky Try a Tesla &amp; you’re welcome to give it back if you decide you prefer a Subaru,3036,98459,MonicaLewinsky,,,Twitter for iPhone,en,1304163298934480905
elonmusk,2020-09-10T07:35:15Z,@slashdot Vera Rubin Observatory is cool,84,2433,slashdot,,,Twitter for iPhone,en,1303960212794159105
elonmusk,2020-09-10T06:22:52Z,@PPathole @eugenelee3 @UniverCurious 1+1=2,392,4976,PPathole,,,Twitter for iPhone,,1303941994578956288
elonmusk,2020-09-10T06:16:40Z,@CharlieMunger00 @UniverCurious Munger is right,42,1157,CharlieMunger00,,,Twitter for iPhone,en,1303940434457243648
elonmusk,2020-09-10T06:11:19Z,@eugenelee3 @UniverCurious https://t.co/f8rWY4ExeE,138,1920,eugenelee3,,,Twitter for iPhone,,1303939089150996480
elonmusk,2020-09-10T06:05:08Z,@UniverCurious Black-Scholes formula is kinda bs. Big difference between a finance approximation &amp; fundamental physics / pure math.,397,7368,UniverCurious,,,Twitter for iPhone,en,1303937534595141632
elonmusk,2020-09-10T05:43:58Z,@wintonARK True,853,29743,wintonARK,,,Twitter for iPhone,en,1303932208235917312
